item,battery,liquid,consumable,durability,modeswitch,payload,gun,ammo,geiger,randomroll,randomaction,bodycomponent
woundglue,,✓,✓,,,,,,,,,
morphine,,✓,✓,,,,,,,,,
syringe,,✓,✓,,,,,,,,,
makeshiftrd,,✓,✓,,,,,,,,,
lrd,,✓,✓,,,,,,,,,
opium,,✓,✓,,,,,,,,,
heroin,,✓,✓,,,,,,,,,
naloxone,,✓,✓,,,,,,,,,
naltrexone,,✓,✓,,,,,,,,,
sodiumnitroprusside,,✓,✓,,,,,,,,,
vasopressin,,✓,✓,,,,,,,,,
amiodarone,,✓,✓,,,,,,,,,
fentanyl,,✓,✓,,,,,,,,,
ceftriaxone,,✓,✓,,,,,,,,,
painkillers,,✓,✓,,,,,,,,,✓
keratinbooster,,✓,✓,,,,,,,,,
braingrow,,✓,✓,,,,,,,,,
antidepressants,,✓,✓,,,,,,,,,✓
antibiotics,,✓,✓,,,,,,,,,
mindwipe,,✓,✓,,,,,,,,,✓
antiserum,,✓,✓,,,,,,,,,
antirad,,✓,✓,,,,,,,,,
sleepingpills,,✓,✓,,,,,,,,,✓
bloodcoagulant,,✓,✓,,,,,,,,,
combatpen,,✓,✓,,,,,,,,,
clottingmush,,✓,✓,,,,,,,,,
streptokinase,,✓,✓,,,,,,,,,
disinfectant,,✓,✓,,,,,,,,,
spraybottle,,✓,✓,,,,,,,,,
rag,,,✓,,,,,,,,,
musharm,,,✓,,,,,,,,,
geofruit,,,✓,,,,,,,,,
bread,,,✓,,,,,,,,,
cake,,,✓,,,,,,,,,
frigiantfruit,,,✓,,,,,,,,,
popfruit,,,✓,,,,,,,,✓,
helluce,,,✓,,,,,,,,,
bulbskin,,,✓,,,,,,,,✓,
xalorissponge,,,✓,,,,,,,,,
stonefruitclosed,,,✓,,,,,,,,,
stonefruitopen,,,✓,,,,,,,,,
banana,,,✓,,,,,,,,,
foliagemeal,,,✓,,,,,,,,,
burger,,,✓,,,,,,,,,
pancake,,,✓,,,,,,,,,
pizzaslice,,,✓,,,,,,,,,
bucketofchicken,,,✓,,,,,,,,,
popcorn,,,✓,,,,,,,,,
steak,,,✓,,,,,,,,,
pemmican,,,✓,,,,,,,,,
cookies,,,✓,,,,,,,,,
chips,,,✓,,,,,,,,,
cereal,,,✓,,,,,,,,,
dogfood,,,✓,,,,,,,,,
hardcandy,,,✓,,,,,,,,,
fleshchunk,,,✓,,,,,,,,,
candybar,,,✓,,,,,,,,,
chocolatebar,,,✓,,,,,,,,,
paprikash,,,✓,,,,,,,,,
nutrientbar,,,✓,,,,,,,,,
foliage,,,✓,,,,,,,,✓,
exposedcore,,,✓,,,,,,,,✓,
browncap,,,✓,,,,,,,,✓,
funguschunk,,,✓,,,,,,,,✓,
dryfoliage,,,✓,,,,,,,,✓,
glowplantfruit,,,✓,,,,,,,,,
antisepticmush,,,✓,,,,,,,,,
experimentflesh,,,✓,,,,,,,,,
animalflesh,,,✓,,,,,,,,,
internalorgans,,,✓,,,,,,,,,
blobflesh,,,✓,,,,,,,,,
cactusflesh,,,✓,,,,,,,,,
mushpear,,,✓,,,,,,,,,
mushtail,,,✓,,,,,,,,,
aquapple,,,✓,,,,,,,,,
droppings,,,✓,,,,,,,,,
bloodsac,,,✓,,,,,,,,,
venomgland,,,✓,,,,,,,,,
bunchunk,,,✓,,,,,,,,,
present,,,✓,,,,,,,,,
neuralbooster,,,✓,,,,,,,,,
rosepod,,,✓,,,,,,,,,
nondescriptcan,,,✓,,,,,,,✓,,
ryebulb,,,✓,,,,,,,,,
ryeflour,,,✓,,,,,,,,,
tourniquet,,,✓,,,,,,,,,✓
splint,,,✓,,,,,,,,,✓
carcasssplint,,,✓,,,,,,,,,✓
icepack,,,✓,,,,,,,,,✓
rippeddressing,,,✓,,,,,,,,,
bruisekit,,,✓,,,,,,,,,
medicalsuture,,,✓,,,,,,,,,
adhesivebandage,,,✓,,,,,,,,,
analgesicgauze,,,✓,,,,,,,,,
alginate,,,✓,,,,,,,,,
sterilizedbandage,,,✓,,,,,,,,,
plasticbandage,,,✓,,,,,,,,,
boneweldingtool,,,✓,,,,,,,,,
tweezers,,,✓,,,,,,,,,
chestdrain,,,✓,,,,,,,,,
spacedrain,,,✓,,,,,,,,,
torch,,,,✓,,,,,,,,
campfire,,,,✓,,,,,,,,
primitivediggingtool,,,,✓,,,,,,,,
makeshiftdiggingtool,,,,✓,,,,,,,,
shovel,,,,✓,,,,,,,,
woodshovel,,,,✓,,,,,,,,
pitchfork,,,,✓,,,,,,,,
woodpitchfork,,,,✓,,,,,,,,
pickaxe,,,,✓,,,,,,,,
titaniumpickaxe,,,,✓,,,,,,,,
sledgehammer,,,,✓,,,,,,,,
wrench,,,,✓,,,,,,,,
makeshiftwrench,,,,✓,,,,,,,,
woodpickaxe,,,,✓,,,,,,,,
wooddiggingtool,,,,✓,,,,,,,,
machete,,,,✓,,,,,,,,
titaniummachete,,,,✓,,,,,,,,
crudecleaver,,,,✓,,,,,,,,
sickle,,,,✓,,,,,,,,
woodsickle,,,,✓,,,,,,,,
rake,,,,✓,,,,,,,,
claws,,,,✓,,,,,,,,
trowel,,,,✓,,,,,,,,
titaniummultitool,,,,✓,,,,,,,,
woodtrowel,,,,✓,,,,,,,,
flimsyknife,,,,✓,,,,,,,,
scrapmetal,,,,✓,,,,,,,,
climbingrope,,,,✓,,,,,,,,
scaffoldingpack,,,,✓,,,,,,,,
firestarter,,,✓,,,,,,,,,
lighter,,,✓,,,,,,,,,
sleepingbag,,,✓,,,,,,,,,
pistol,,,,,,,✓,,,,✓,
rifle,,,,,,,✓,,,,✓,
makeshiftrifle,,,,,,,✓,,,,✓,
shotgun,,,,,,,✓,,,,✓,
smallmagazine,,,,,,,,✓,,,,
riflemagazine,,,,,,,,✓,,,,
boxof12gauge,,,,,,,,✓,,,,
9mmround,,,,,,,,✓,,,,
556round,,,,,,,,✓,,,,
12gauge,,,,,,,,✓,,,,
plushie,,,,,,,,,,✓,,
blueprint,,,,,,,,,,✓,,
