"entity","type","trigger","state","one-shot","damages","random","replay","sync","path"
"CrystalEMP","crystal","collide","activated","yes","no","no","black visual","covered","CrystalEMPActivated (29)"
"CrystalBurning","crystal","collide","none","no","no","no","none","excluded","local body effect"
"CrystalTemperature","crystal","collide","none","no","no","no","none","excluded","local body effect"
"CrystalSeptic","crystal","collide","none","no","no","no","none","excluded","local body effect"
"CrystalHealing","crystal","collide","none","no","no","no","none","excluded","local body effect"
"CrystalBlinding","crystal","collide","none","no","no","no","none","excluded","local body effect"
"CrystalIrradiated","crystal","collide","none","no","no","no","none","excluded","local body effect"
"CrystalGravity","crystal","collide","none","no","no","no","none","excluded","local physics"
"CrystalKinetic","crystal","collide","none","no","no","no","none","excluded","local physics"
"CrystalDripping","fluid","field","none","no","no","no","dripping","covered","FluidRegion/FluidWorldSync"
"FluidManager","fluid","field","fluid grid","no","no","no","water grid + water-push/waterflow sound","covered","FluidRegion/FluidWorldSync + FluidPresentation (NetMsg 96)"
"OilPipeScript","fluid","field","coolTime","no","no","yes","oil production","covered","FluidRegion/FluidWorldSync"
"LifepodPump","fluid","field","none","no","no","yes","pump","covered","FluidRegion/FluidWorldSync"
"CorpseScript","environment","field","health","no","no","no","corpse hp/loot","covered","BuildingEntity/GeneratedItemAuthority"
"SurvivorNote","environment","click","none","yes","no","no","slowmo","excluded","local UI + local time-scale (accepted divergence)"
"TutorialHandler","environment","story","none","no","no","yes","claw items","covered","TutorialClawStateMsg — host 20Hz claw presentation stream; per-side course/props remain by design"
"GrapplingHook","environment","use","fired/hookLatched/pulling","no","no","no","fired sprite (rope local projection)","covered","RemoteItemPresentation"
"Climbable","environment","field","none","no","no","no","climb","excluded","local body"
"BounceShroom","environment","field","none","no","no","no","bounce","excluded","local physics"
"GeigeFruitScript","environment","field","none","no","no","no","none","excluded","local body"
"LeadbushScript","environment","field","none","no","no","no","none","excluded","local body"
"CampfireAnimation","environment","field","none","no","no","no","none","excluded","pure visual"
"WaterPusher","environment","field","none","no","no","no","water push/slip","covered","FluidPresentation (NetMsg 96)"
"ItemLock","environment","field","none","no","no","no","none","excluded","marker only"
"RadioactiveObject","environment","field","none","no","no","no","none","excluded","local body field"
"XalorisScript","environment","field","none","no","no","no","none","covered","EnemyEffectMsg septic tick"
"Openable","building","click","health","yes","no","no","open anim/drops","covered","BuildingEntityOpened"
"BuildingEntity","building","click","health","no","no","no","break/drops","covered","BuildingEntityDamaged"
"DrillPod","building","click","working","no","no","no","repair/world reset","excluded","WorldJoin-level"
"GunmineScript","building","collide","none","no","yes","no","shoot","excluded","hand-placed"
"SawbladeScript","building","collide","none","no","yes","no","saw","excluded","hand-placed"
"SpiderHandler","creature","field","none","no","yes","yes","AI/leg IK","covered","EnemyState stream (SpiderLegTargets) + EnemyAttack/EnemyBite events + ClawAnim replay"
"CaveTicks","creature","field","none","no","yes","yes","AI/leg IK","covered","EnemyState stream (SpiderLegTargets) + EnemyAttack/EnemyBite events + ClawAnim replay"
"ElderThornbackBehaviour","creature","field","none","no","yes","yes","AI","covered","EnemyState stream + EnemyEffectMsg horror events"
"CrystalEnemy","creature","field","none","no","yes","yes","AI","covered","EnemyState stream (CrystalWindup telegraph) + EnemyAttack/EnemyLunge events; runtime crystalenemy tint rides EntitySpawned/EnemySnapshot (PV24)"
"CrystalTeleport","crystal","collide","none","no","no","yes","observerlaugh 2D + FlashBrief","covered","CrystalTeleportTriggered (EntityEventKind 33) + 20 Hz player stream"
